country,question,mean_wave_1,mean_wave_7,change_direction,change_magnitude,t_statistic,p_value
AUS,F121,5.047698744769875,7.738270209157716,Increase,2.6905714643878413,-28.28978169200412,3.5217688681379874e-153
MEX,F118,2.2574850299401197,4.338661930136175,Increase,2.0811769001960556,-21.70636226689154,9.091238224373435e-98
AUS,F120,4.278991596638655,6.5623237450648615,Increase,2.283332148426206,-20.979565426131835,1.4473033293206088e-90
JPN,F121,4.583011583011583,6.802873104549082,Increase,2.2198615215374993,-20.031766686215256,4.3102614716158556e-82
ARG,F122,1.6626936829558998,3.857634902411022,Increase,2.194941219455122,-19.002147665606156,1.778256056721094e-71
AUS,F050,0.8497816593886462,0.5858187957231289,Drop,-0.26396286366551736,16.754786186190255,3.384513909332493e-60
ARG,F114A,2.2937649880095923,4.559877175025589,Increase,2.2661121870159966,-16.355319578375397,4.021586800934358e-56
ARG,F119,2.0992990654205608,3.9194776931447226,Increase,1.8201786277241618,-16.023853006800785,6.577706392474519e-54
JPN,F028,6.244741873804971,5.173848439821694,Drop,-1.0708934339832767,15.120882754988775,2.6497427038433285e-49
AUS,F034,1.4649415692821368,1.8077777777777777,Increase,0.3428362084956409,-14.161461110708958,4.437573190372503e-44
AUS,F116,3.0730290456431537,1.8486878838637633,Drop,-1.2243411617793905,14.08675800897984,7.40317309582695e-43
AUS,F028,4.779507133592737,6.25749167591565,Increase,1.477984542322913,-13.684157465318135,4.530540168636172e-40
JPN,F120,3.5282837967401726,4.87037037037037,Increase,1.3420865736301977,-13.184070946765905,2.6797800592597104e-38
KOR,F114A,2.1123227917121046,3.2353413654618475,Increase,1.123018573749743,-13.086354395218402,1.780467264351778e-37
MEX,F114A,3.355119825708061,4.696916812100058,Increase,1.341796986391997,-12.58406286551167,1.4800131145720515e-35
MEX,F119,2.448557430593359,3.6201641266119577,Increase,1.171606696018599,-12.550247200011238,2.326911080232924e-35
AUS,F122,5.2112917023096665,6.688775510204081,Increase,1.4774838078944148,-12.600694748196503,2.5568174693841514e-35
MEX,F121,3.69352204681546,5.040603248259861,Increase,1.3470812014444005,-12.330228455629287,3.1426454588522376e-34
KOR,F118,2.158482142857143,3.232128514056225,Increase,1.0736463711990822,-12.219354828659558,4.1306592821957604e-33
AUS,F119,3.8789915966386554,5.173371104815864,Increase,1.2943795081772085,-12.042978935784728,1.4756253815902385e-32
ARG,F123,1.5492957746478873,2.6627408993576016,Increase,1.1134451247097144,-11.96529448368692,1.257573224845601e-31
JPN,F122,4.7871720116618075,6.183508488278092,Increase,1.396336476616285,-11.287568008425337,9.626407520829523e-29
AUS,F063,6.165568369028007,4.78476084538376,Drop,-1.380807523644247,11.1014493249392,4.779030034089104e-28
KOR,F115,2.076759061833689,2.970281124497992,Increase,0.893522062664303,-11.142273601940788,5.6259279240005445e-28
